Time[GMT],current_u[cm/s](10m),current_v[cm/s](10m),current_u[cm/s](14m),current_v[cm/s](14m),current_u[cm/s](18m),current_v[cm/s](18m),current_u[cm/s](22m),current_v[cm/s](22m),current_u[cm/s](26m),current_v[cm/s](26m),current_u[cm/s](30m),current_v[cm/s](30m),current_u[cm/s](34m),current_v[cm/s](34m),current_u[cm/s](38m),current_v[cm/s](38m),current_u[cm/s](42m),current_v[cm/s](42m),current_u[cm/s](46m),current_v[cm/s](46m),current_u[cm/s](50m),current_v[cm/s](50m),current_u[cm/s](54m),current_v[cm/s](54m),current_u[cm/s](58m),current_v[cm/s](58m),current_u[cm/s](62m),current_v[cm/s](62m)
2013/11/5 0:00,-12.42,-3.48,-11.82,-4.77,-11.48,-4.87,-11.07,-5.16,-9.53,-4.06,-8.3,-1.91,-6.37,0.67,-2.92,0.99,-4.91,-1.71,-6.13,-3.55,-4.72,-6.46,-3.14,-5.46,-1.24,-0.06,0.13,4.01
2013/11/5 1:00,-6.46,3.67,-6.66,4.34,-6.67,4.03,-6.43,3.58,-5.91,2.58,-5.05,3.16,-1.68,3.77,1.06,3.04,-0.72,4.07,-2.41,3.45,-2.58,-0.79,-0.9,-4.25,1.25,-3.07,2.28,-1.29
2013/11/5 2:00,-13.06,2.7,-13.5,2.77,-12.88,2.13,-12.61,1.58,-12.12,-0.04,-10.97,-1.05,-10.9,-3.33,-8.95,-3.57,-10.31,0.19,-11.54,2.85,-11.93,-0.3,-9.81,-2.79,-7.85,-2.71,-6.56,-3.16
2013/11/5 3:00,-12.77,4.15,-11.9,3.68,-9.35,3.21,-7.33,4.14,-6.34,4.33,-6.1,3.89,-6.42,3.89,-6.6,4.15,-9.51,1.69,-9.57,3.24,-10.14,5.79,-9.25,4.6,-7.78,1.49,-6.81,-0.3
2013/11/5 4:00,-14,5.76,-13.78,5.72,-13.66,5.34,-13.76,4.99,-13.91,4.11,-12.82,2.25,-11.01,0.09,-8.6,-2.32,-8.81,-3.01,-11.83,-1.32,-9.84,-2.7,-7.95,-4.1,-7.32,-6.84,-6.82,-8.15
2013/11/5 5:00,-11.08,3.41,-10.59,3.87,-10.06,3.83,-9.64,2.8,-9.42,1.41,-9.31,-1.7,-9.07,-3.51,-7.92,-5.56,-8.73,-7.69,-10.11,-5.92,-8.15,-4.79,-8.81,-7.09,-8.23,-11.4,-9.02,-14.26
2013/11/5 6:00,-8.8,-1.33,-9.46,-1.22,-8.81,-0.6,-8.82,-0.92,-8.79,-2.37,-8.84,-4.27,-10.27,-3.35,-9.18,-2.81,-10.42,-4.23,-12.27,-6.37,-14.78,-10.48,-16.39,-15.15,-15.94,-18.99,-16.26,-21.39
2013/11/5 7:00,-6,-7.06,-6.54,-7.33,-5.95,-7.57,-6.2,-7.44,-5.8,-6.69,-6.56,-6.92,-6.62,-6.73,-5.38,-7.71,-7.17,-11.08,-8.29,-11.53,-9.28,-13.08,-9.11,-15.02,-10.51,-16.6,-12.76,-18.12
2013/11/5 8:00,-9.02,-6.42,-8.96,-6.61,-9.01,-6.1,-8.91,-6.07,-9.53,-6.47,-9.53,-6.47,-10.4,-8.72,-12.63,-10.34,-13.11,-10.49,-13.42,-10.48,-15.15,-11.32,-16.48,-11.42,-16.01,-12.63,-13.57,-12.72
2013/11/5 9:00,2.25,-2.24,2.02,-2.83,1.13,-2.69,1.24,-2.34,1.28,-2.12,1.78,-2.07,0.99,-2.21,1.23,-2.66,-0.42,-4.1,-1.55,-6.22,-3.72,-5.63,-4.97,-6.33,-4.67,-11.05,-5.1,-15.47
2013/11/5 10:00,-3.08,-2.93,-2.22,-1.62,0.87,-0.78,2.49,0.76,2.33,3.33,2.38,4.18,1.45,3.47,-1.06,3.13,-3.13,1.34,-2.86,-0.56,-3.62,-0.48,-5.59,-0.87,-6.13,-1.14,-6.05,-1.43
2013/11/5 11:00,-0.36,1.88,-0.78,2.9,1.09,3.26,2.28,3.83,3.37,4.38,3.32,6.24,1.33,7.62,-1.69,8.27,-5.13,7.21,-7.71,4.02,-9.43,3.49,-10.86,3.37,-11.26,3.67,-10.58,3.14
2013/11/5 12:00,-0.85,5.18,-0.21,5.48,1.23,6.23,3.71,8.04,4.47,11.72,5.18,13.5,4.8,14.75,4.18,12.99,3.78,10.88,0.48,10.4,-5.86,9.61,-8.23,8.46,-9.54,6.91,-8.67,9.9
2013/11/5 13:00,-4.16,8.14,-4.04,7.76,-1.18,8.32,-2.02,10.36,-3.27,13.43,-2.76,14.84,-0.83,15.01,0.01,14.33,0.67,14.22,1.38,13.6,-2.42,8.25,-6.86,6.37,-8.65,7.08,-8.85,7.75
2013/11/5 14:00,-9.76,4.55,-10.36,5.83,-10.17,8.29,-8.93,11.07,-7.13,12.04,-5.79,12.77,-4.09,12.34,-2.47,10.12,-0.97,10.68,-3.63,7.78,-9.04,3.93,-9.7,4.36,-10.24,3.04,-10.83,2.23
2013/11/5 15:00,-18.39,4.73,-17.69,5.88,-17.05,6.5,-17.35,7.14,-16.82,7.82,-14.94,7.14,-11.5,6.84,-9.94,4.8,-14.08,6.05,-15.73,8.68,-14.15,12.09,-12.31,14.95,-12.27,15.49,-11.06,15.65
2013/11/5 16:00,-19.73,4.32,-19.04,3.8,-17.96,2.98,-16.02,2.11,-13.62,1.8,-13.4,1.76,-14.66,1.79,-13.78,1.64,-14.12,2.06,-15.01,4.3,-14.22,5.48,-14.56,5.9,-15.82,4.89,-17.34,3.69
2013/11/5 17:00,-14.94,5.78,-14.87,4.86,-13.54,3.6,-12.56,2.43,-10.55,0.64,-10.96,-0.42,-13.13,-1.51,-12.38,0.82,-9.62,1.03,-8.15,3.05,-6.88,4.38,-5.26,3.52,-3.02,2.01,-4.27,2.35
2013/11/5 18:00,-16.48,-0.12,-15.98,-1.43,-14.46,-1.28,-12.66,-2.72,-11.52,-5.09,-11.92,-7.2,-13.13,-6.31,-12.97,-3.76,-11.95,-2.29,-11.12,-3.3,-10.42,-1.83,-12.44,-1.71,-12.69,-1.58,-13.29,-4.06
2013/11/5 19:00,-6.13,-9.72,-7,-10.3,-6.1,-11.17,-5.03,-12.62,-4.53,-14.25,-4.61,-16.05,-5.76,-16.4,-5.02,-12.31,-3.55,-9.24,-4.31,-10.52,-6.69,-10.62,-10.2,-11.8,-11.54,-12.21,-11.26,-13.79
2013/11/5 20:00,-7.27,-7.35,-7.03,-7.8,-6.8,-10.24,-7.26,-9.43,-5.06,-6.36,0.43,-3.11,3.45,-3.76,3.97,-4.43,2.44,-5.94,0.19,-6.11,-2.41,-4.08,-2.69,-1.45,-2.37,1.26,-2.97,2.54
2013/11/5 21:00,5.1,-7.43,4.61,-9.26,5.09,-11.52,6.88,-13.27,8.46,-14.67,10.5,-14.15,11.12,-14.48,9.88,-14.55,6.88,-13.27,5.24,-14.4,4.55,-14.19,1.07,-11.7,-0.98,-8.77,-1.09,-6.71
2013/11/5 22:00,8.21,-3.24,6.76,-4,6.79,-4.41,7.26,-4.26,7.2,-4.39,6.38,-5.47,6.18,-7.21,5.56,-9.28,6.05,-11.22,4.36,-10.17,2.34,-8.69,-0.54,-7.8,-1.37,-6.8,-0.37,-7.01
2013/11/5 23:00,10.76,3.81,10.86,4.16,11.24,2.91,10.99,1.69,10.26,0.31,10.29,-2.19,9.29,-4.06,5.57,-3.84,2.81,-1.65,3.55,0.35,2.65,3.32,2.74,4.71,5.38,4.99,7.37,3.61
2013/11/6 0:00,6.97,-0.9,7.31,-1.01,7.39,-1.61,8.47,-1.7,8.5,-2.84,5.96,-5.81,2.22,-7.27,-1.82,-4.64,-2.22,-1.3,-3.19,0.17,-3.55,2.37,-3.11,2.29,-2.1,2.08,-0.52,-0.37
2013/11/6 1:00,4.16,9.32,3.34,8.24,4.41,9.19,3.82,8.38,3.09,7.32,2.41,5.44,0.74,5.45,-2.25,7.36,-4.27,10.2,-2.99,11.84,-3.27,12.07,-4.92,11.99,-4.08,9.94,-1.81,8.65
2013/11/6 2:00,-0.66,1.47,-0.67,0.84,-0.73,1.03,-0.87,0.78,-0.44,0.07,-0.65,-0.62,-2.43,-0.95,-4.52,-0.96,-7,-0.36,-7.39,0.56,-8.33,2.26,-10.05,4.14,-10.12,4.02,-8.08,1.82
2013/11/6 3:00,-6.7,1.4,-5.95,1,-4.95,-0.57,-5.07,-0.51,-5.82,-0.11,-6.68,-0.37,-7.38,-0.48,-8.28,-0.96,-9.9,0.22,-10.45,3.39,-10.99,5.84,-12.89,5.89,-12.7,5.63,-11.49,4.75
2013/11/6 4:00,-5.6,-10.08,-4.74,-9.81,-5.89,-9.12,-6.5,-8.16,-6.51,-8.47,-7.18,-8.68,-8.72,-5.7,-5.34,-3.41,-7.74,-0.69,-10,1.23,-8.95,2.6,-7.91,2.6,-7.43,2.75,-8.67,2.37
2013/11/6 5:00,-8.84,-3.23,-8.65,-4.21,-8.13,-5.21,-8.69,-5.79,-8.36,-6.53,-9.8,-6.24,-12,-5.55,-12.42,-3.17,-12.57,-0.6,-13.7,-0.32,-14.6,-1.85,-13.86,-2.88,-11.27,-1.77,-7.63,-1.39
2013/11/6 6:00,-8.25,-2.1,-7.92,-1.79,-7.6,-1.49,-8.38,-1.31,-9.75,-0.26,-11.09,1.73,-12.83,4.34,-15.3,5.57,-13.64,4.93,-12.31,4.71,-11.39,3.73,-11.73,1.43,-12.34,-0.32,-11.94,-0.62
2013/11/6 7:00,-6.1,-14.94,-6.29,-14.99,-6.83,-14.95,-7.03,-15.32,-7.63,-15.4,-9.47,-14.19,-11.18,-13.35,-14.72,-10.35,-16.49,-6.61,-17.36,-6.14,-18.36,-6.66,-18.55,-8.08,-17.05,-8.87,-16.68,-9.39
2013/11/6 8:00,0.85,-11.66,0.64,-10.99,0.37,-10.45,0.19,-8.83,-0.48,-7.67,-2.54,-5.38,-4.75,-2.92,-8.69,0.38,-10.88,2.42,-11.43,2.15,-9.86,0.44,-7.51,-1.77,-6.43,-4.27,-6.42,-7.4
2013/11/6 9:00,-0.08,-10.69,-0.43,-10.9,-0.82,-11.34,-0.75,-10.89,-2.25,-9.05,-4.56,-7.67,-4.15,-5.24,-4.01,-3.63,-6.47,-1.77,-8.23,-0.11,-8.14,-1.76,-6.15,-4.18,-5.69,-6.34,-5.85,-8.58
2013/11/6 10:00,8.33,-10.84,8.86,-10.15,7.61,-9.49,6.16,-10.25,3.91,-10.41,1.64,-9.12,-0.17,-6.95,-1.9,-4.03,-3.67,-2.69,-4.26,-3.5,-4.9,-3.8,-4.39,-4.79,-0.34,-7.11,1.21,-7.37
2013/11/6 11:00,2.64,-10.69,2.86,-10.73,4.06,-9.53,2.14,-10.43,-0.85,-11.24,-4.13,-9.42,-6.31,-5.69,-8.41,-2.26,-9.63,-1.69,-10.54,-1.44,-10.43,-0.78,-8.63,-1.18,-5.07,-3.95,-2.78,-5.97
2013/11/6 12:00,7.48,-4.3,8.41,-5.27,9.08,-3.71,8.87,-3.35,9,-2.06,6.76,-1.59,2.05,-0.21,-2.53,3.83,-6,6.64,-6.38,6.52,-5.49,8.05,-4.04,8.07,-2.69,6.39,0.36,4.29
2013/11/6 13:00,2.73,-0.73,1.81,-0.8,2,-1.06,1.78,-1.03,1.14,-1.33,0.32,-1.05,-1.87,-0.05,-5.14,1.77,-6.71,3.81,-8.16,5.14,-6.51,5.22,-3.72,4.3,-1.44,3.33,-1.21,3.29
2013/11/6 14:00,0.7,2.51,-0.3,2,-0.41,1.34,-1,1.58,-1.91,2.14,-2.97,2.54,-4.41,3.15,-5.2,4.69,-7.77,7.98,-11.82,10.61,-10.25,8.89,-6.01,6.32,-3.78,5.85,-2.82,6.14
2013/11/6 15:00,2.9,3.19,2.86,1.92,2.36,1.87,2.52,0.98,1.19,0.89,-0.33,0.74,-2.42,1.77,-4.71,4.1,-6.79,6.81,-9.37,7.38,-8.3,4.57,-5.1,0.95,-2.15,-0.14,-0.42,1.02
2013/11/6 16:00,2.85,-1.12,2.91,-1.31,2.11,-1.76,0.49,-2.99,-0.19,-2.46,-1.72,-1.57,-3.96,-1.42,-7.23,0.4,-7.27,1.54,-6.45,2.63,-4.92,1.74,-3.55,-1.4,-0.9,-3.2,0.74,-3.12
2013/11/6 17:00,-5.79,-1.25,-6.42,-2.28,-6.26,-3.48,-8.34,-3.49,-9.47,-4.25,-11.44,-4.65,-13.12,-3.59,-16.03,-0.93,-17.75,0.95,-17.7,0.76,-16.8,1.24,-15.15,1.33,-13.18,-1,-12.33,-4.82
2013/11/6 18:00,-2.53,1.11,-3.54,-0.04,-5.29,-0.47,-6.74,-1.54,-9.31,-1.7,-10.03,-1.39,-10.88,0.02,-10.94,2.61,-10.42,4.66,-11.85,6.94,-13.95,7.66,-12.91,4.94,-10.52,1.91,-8.88,0.32
2013/11/6 19:00,8.64,-9.8,6.05,-10.91,3.52,-12.2,0.03,-12.75,-1.37,-12.97,-2.55,-10.82,-3.62,-8.32,-3.39,-5.32,-2.12,-3.68,-5.03,-2.69,-5.73,-4.16,-6.16,-5.86,-4.76,-9.4,-5.17,-11.83
2013/11/6 20:00,5.26,-11.05,5.03,-11.32,3.74,-12.24,1.44,-13.26,-0.88,-13.55,-4.36,-12.42,-5.52,-9.64,-5.28,-6.32,-4.55,-3.59,-4.45,-3.24,-4.58,-3.49,-5.92,-5.26,-6.06,-7.19,-4.27,-9.98
2013/11/6 21:00,9.68,-6.35,9.9,-7.74,8.89,-7.53,7.07,-7.04,3.3,-6,0.34,-4.18,0.29,-3.68,0.68,-1.88,1.47,-1.75,1.27,-3.8,0.3,-5.76,0.25,-5.26,0.36,-5.96,1.45,-8.86
2013/11/6 22:00,2.81,-5.42,2.92,-6.11,2.2,-5.81,1.54,-5.38,-1.18,-2.98,-3.07,0.11,-3.06,1.47,-2.87,2.89,-3.39,2.2,-4.23,0.17,-5.9,-1.91,-8.16,-3.75,-8.87,-5.53,-8.31,-4.63
2013/11/6 23:00,13.23,0.49,14.13,-0.39,13.14,-0.9,11.91,-2.01,9.93,-2.72,5.12,-1.36,4.11,1.26,3.77,1.36,2.35,1.55,1.41,-0.51,-0.64,-1.66,-1.85,-3.18,-0.02,-4.4,1.66,-4.41
2013/11/7 0:00,13.01,2.93,14.19,2.14,12.96,-0.32,11.67,-0.2,9.11,-0.04,5.83,0.42,4.59,2.76,3.35,3.74,1.1,4.62,-0.66,5.24,-1.42,5,0.2,5.5,1.15,5.48,2.43,3.67
2013/11/7 1:00,10.5,11.47,10.54,10.33,10.87,9.6,10.18,8.44,9.54,8.46,7.29,7.98,4.5,7.86,1.95,9.69,-0.14,9.68,-2.2,9.58,-2.81,10.22,-1.57,10.6,2.66,10.12,5.01,10.63
2013/11/7 2:00,11.13,12.5,11.33,11.52,11.19,10.95,9.97,10.47,7.67,10.5,4.4,11.59,2.6,12.71,0.43,13.31,-0.89,13.53,-2.12,13.78,-4.41,14.76,-4.08,14.02,-2.08,12.96,1.2,11.14
2013/11/7 3:00,5.77,8.14,5.52,8.28,5.55,8.18,5.52,8.28,5.24,8.5,2.72,7.52,0.31,7.2,-3.25,9.25,-5.63,11.24,-9.15,12.47,-11.03,12.83,-8.35,11.57,-6.85,9.41,-6.02,7.36
2013/11/7 4:00,2.18,4.85,0.63,4.79,1.18,4.34,0.96,5.42,0.35,6.38,0.12,7.15,-2.21,7.58,-5.94,9.16,-10.5,11.43,-14.1,12.94,-13.69,12.96,-9.94,9.93,-7.38,6.01,-5.81,4.29
2013/11/7 5:00,4.94,-9.99,4.43,-10.04,4.38,-9.54,4.25,-9.47,4.06,-8.48,3.39,-7.33,1.63,-6.72,-1.75,-5.56,-6.38,-3.41,-10.11,-0.79,-11.15,1.92,-9.39,2.67,-6.08,1.07,-3.69,-2.28
2013/11/7 6:00,1.77,-1.34,1.8,-0.08,1.09,0.54,1.51,-0.16,1.57,-0.36,1.85,-1.94,1.09,-0.82,-0.92,1.29,-3.76,4.08,-8.87,8.16,-12.27,11.41,-12.44,9.9,-9.52,6.19,-6.36,2.34
2013/11/7 7:00,12.16,-12.07,11.42,-12.72,11.16,-13.95,11.28,-12.97,11.22,-11.73,10.6,-11.4,7.58,-10.76,3.07,-7.64,-3.22,-2.45,-7.32,0.69,-6.16,1.67,-3.08,0.84,-0.76,-1.28,-0.71,-4.19
2013/11/7 8:00,10.1,-0.89,8.84,-0.85,6.73,-0.45,5.25,-1.11,1.81,0.24,-1.9,3.81,-5.06,6.3,-5.9,8.02,-7.37,8.73,-8.56,9.51,-8.5,9.32,-8.21,9.41,-5.7,9.76,-3.29,7.67
2013/11/7 9:00,13.3,-8.27,12.31,-8.79,11.06,-9.17,9.12,-9.66,6.85,-8.05,4.97,-4.96,1.76,-1.66,-0.48,-0.15,-2.97,0.14,-4.65,0.15,-5.15,0.41,-3.33,-0.39,-1.49,-1.29,0.6,-4
2013/11/7 10:00,0.67,-4.92,-0.2,-4.14,-2.59,-3.83,-4.92,-3.07,-6.37,-1.74,-6.58,-0.02,-7.55,1.77,-8.97,1.96,-10.31,3.96,-11.09,4.14,-11.14,3.6,-11.52,3.48,-10.92,1.16,-8.75,-1.84
2013/11/7 11:00,10.45,-4.44,11.31,-5.53,10.3,-4.28,7.22,-4.8,3.32,-4.01,1.36,-2.41,0.43,-1.75,1.71,-0.11,2.72,2.4,3.68,4.05,4.87,4.94,4.12,5.34,2.49,5.88,2.01,4.38
2013/11/7 12:00,8.01,-4.66,7.09,-4.73,6.29,-5.19,5.08,-5.66,3.76,-5.12,1.23,-4.02,-1.49,-2.65,-1.8,-1.28,-0.98,0.12,1.12,1.81,2.53,3.7,2.27,5.92,0.76,5.04,1.05,2.73
2013/11/7 13:00,13.19,-1.41,12.55,-1.39,11.73,-1.43,11.56,-1.9,10.66,-2.7,9.14,-1.49,6.92,0.97,5.39,2.9,7.51,4.49,10.13,4.14,10.89,4.06,10.34,3.47,9.65,4,9.07,4.87
2013/11/7 14:00,9.26,4.61,7.9,4.61,5.98,3.71,5,3.83,2.97,3.63,1.76,4.51,1.34,5.53,2.75,6.38,4.75,6.37,6.91,5.77,8.02,4.54,6.99,3.81,4.81,3.77,3.35,3.74
2013/11/7 15:00,3.33,13.04,4.05,11.38,3.37,10.86,2.09,10.26,-0.3,10.57,-3.08,10.77,-3.06,11.72,-1.61,12.79,0.34,12.23,2.57,10.41,2.38,8.99,1.86,9.98,-0.63,10.26,-3.32,10.17
2013/11/7 16:00,-1.15,8.54,-1.57,8.2,-2.91,7.48,-4.34,7.35,-5.64,7.16,-6.32,9.05,-5.78,9.32,-3.87,8.54,-1.95,4.32,-0.05,0.51,0.8,-0.91,0.77,0.23,-1.41,3.23,-2.19,4.77
2013/11/7 17:00,1.91,9.16,2.24,8.42,2.26,8.01,1.19,7.06,-0.24,6.93,-2.65,6.61,-4.4,7.54,-3.14,7.2,-2.27,6.73,-2.08,3.03,-2.33,-0.92,-0.56,-0.9,-0.97,0.44,-1.18,2.15
2013/11/7 18:00,-5.12,1.36,-5.98,1.1,-6.56,0.92,-6.96,-0.14,-7.93,-1.07,-9.53,-1.66,-11.89,-1.13,-12.23,0.65,-12.72,2.28,-12.07,1.85,-11.91,-1.76,-12.36,-3.36,-10.02,-3.48,-8.44,-2.48
2013/11/7 19:00,-4.05,3.68,-4.97,3.6,-6.01,3.91,-7.18,2.62,-9.56,1.16,-12.23,1.7,-13.29,3.46,-12.63,4.71,-12.1,2.99,-14.2,0.26,-14.59,-1.53,-10.83,-2.89,-8.52,-2.92,-8.07,-1.32
2013/11/7 20:00,-1.27,-2.69,-2.09,-2.73,-2.58,-3.19,-3.82,-3.57,-5.84,-3.46,-8.97,-1.8,-9.06,0.58,-8.14,0.96,-9.16,-1.86,-10.65,-4.83,-11.98,-5.96,-9.54,-5.74,-6.06,-4.47,-4.28,-2.77
2013/11/7 21:00,4.24,-7.7,2.19,-8.53,0.9,-8.41,-0.33,-8.15,-2.73,-7.84,-4.27,-4.86,-4.69,-2.79,-4.47,-2.83,-4.54,-5.68,-6.92,-8.49,-7.62,-11.32,-4.57,-13.11,-1.99,-12.32,-0.82,-11.34
2013/11/7 22:00,10.69,-10.01,8.82,-10.38,7.24,-11.38,5.46,-10.67,4.7,-9.54,2.79,-7.41,1.04,-4.07,1.13,-2.69,-0.08,-5.57,-4.43,-6.37,-6.12,-7,-4.1,-8.47,0.47,-9.06,1.03,-10.56
2013/11/7 23:00,15.07,-9.61,12.81,-7.69,12.32,-7.11,11.05,-6.03,9.57,-4.29,9.01,-2.79,8.9,0.63,8.42,1.53,5.24,-0.38,2.06,-0.94,0.74,-3.43,3.79,-5.22,7.69,-6.33,9.21,-6.18
2013/11/8 0:00,8.41,-10.4,7.12,-8.59,7.09,-5.05,6.45,-1.58,6.24,1.49,5.78,3.33,5.82,5.23,4.32,4.35,1.83,3.59,0.63,4.79,-0.34,6.59,-1.43,6.05,0.06,4.93,3.84,2.85
2013/11/8 1:00,3.05,-19.56,1.81,-17.54,2.34,-15.18,1.6,-12.06,2.39,-9.52,2.99,-6.72,3.56,-4.45,2.69,-5.03,1.71,-3.87,4.29,-0.68,6.67,1.1,5.3,1.83,3.02,1.76,2.07,-0.62
2013/11/8 2:00,-0.19,-11.35,0.93,-9.54,1.55,-6.43,1.98,-5.46,3.49,-4.58,3.91,-2.88,4.21,-0.07,4.24,3.91,5.33,5.5,7.46,5,8.82,3.64,7.48,3.23,6.5,1.99,6.22,0.86
2013/11/8 3:00,-2.13,-0.23,-2.37,0.22,-2.26,1.92,-1.71,2.51,-2.5,3.73,-1.76,5.42,-0.38,7.73,3.38,8.77,8.58,10.57,10.69,11.21,8.62,8.39,6.76,7.3,5.44,6.16,3.75,5.85
2013/11/8 4:00,-11.54,0.13,-13.16,-0.05,-13.33,1.88,-12.75,3.74,-12.19,3.28,-11.64,5.23,-9.13,7.98,-5.32,7.47,-4.53,4.89,-3.94,1.93,-2.74,0.42,-1.98,0.33,-1.97,2.33,-2.39,4.39
2013/11/8 5:00,-8.97,1.96,-9.6,0.62,-8.28,0.4,-9.68,1.22,-9.58,2.61,-9.04,2.88,-7.95,4.79,-5.13,6.17,-2.78,5.32,-3.48,5.21,-3.87,4.78,-2.6,4.75,0.08,4.52,2.44,1.58
2013/11/8 6:00,-17.13,4.38,-17.21,4.99,-17.54,5.72,-17.2,6.66,-18.6,6.44,-18.09,6.49,-17.38,6.92,-16.05,7.01,-16.67,7.66,-15.62,7.98,-10.92,9.73,-8,10.1,-7.99,6.97,-9.17,3.99
2013/11/8 7:00,-12.36,-6.08,-11.27,-6.58,-12.64,-6.9,-11.61,-6.16,-12.31,-5.23,-13.45,-5.26,-13.15,-4.54,-11.96,-5.33,-11.22,-4.69,-9.51,-2.07,-6.18,-0.32,-2.77,-0.85,-0.77,-2.95,-0.49,-4.54
2013/11/8 8:00,-14.61,-11.37,-13.77,-11.74,-13.85,-12.5,-14.68,-12.54,-13.98,-12.75,-15.64,-13.15,-15.92,-12.92,-15.54,-14.16,-13.38,-16.43,-12.03,-16.75,-12.52,-17.53,-11.59,-19.54,-11.61,-21.54,-9.96,-21.45
2013/11/8 9:00,-3.01,-5.21,-3.47,-5.77,-4.1,-4.71,-4,-4.36,-5,-3.83,-5.49,-4.61,-5.05,-4.68,-4.63,-4.34,-5.59,-3.28,-5.39,-4.26,-4.62,-6.43,-6.84,-11.82,-6.35,-14.8,-5.14,-14.33
2013/11/8 10:00,-6.46,-5.22,-7.29,-4.53,-6.58,-5.15,-6.33,-5.28,-5.18,-5.98,-4.8,-6.17,-5.55,-5.78,-6.36,-2.47,-8.35,-1.09,-10.25,-2.72,-12.32,-5.54,-13.92,-10.22,-13.28,-11.28,-11.03,-10.8
2013/11/8 11:00,-1.84,-7.67,-2.98,-6.66,-2.89,-6.63,-3.07,-6.38,-3.6,-6.01,-2.78,-6.29,-0.7,-5.23,2.08,-5.43,3.09,-5.64,3.91,-5.6,3.92,-5.29,4.34,-4.63,2.85,-3.84,1.7,-4.19
2013/11/8 12:00,6.45,-5.03,6.02,-4.64,6.4,-4.53,5.98,-3.82,6.94,-3.21,5.95,-3.72,5.16,-3.55,5.35,-3.8,6.81,-4.82,7.72,-6.42,7.23,-6.89,7.87,-5.23,8.46,-4.42,9.32,-5.52
2013/11/8 13:00,3.69,-6.92,4.4,-6.18,5.64,-5.8,5.52,-4.38,5.51,-4.69,5.03,-4.84,4.69,-4.74,3.92,-5.29,4.12,-4.91,5.31,-5.38,4.13,-4.28,3.39,-2.2,4.91,-2.37,6.87,-5.01
2013/11/8 14:00,-5.63,-9.98,-4.16,-9.32,-2.57,-8,-4.09,-7.84,-5.13,-9.2,-4.88,-9.34,-5.87,-9.53,-5.32,-9.26,-4.82,-9.21,-5.13,-8.89,-6.3,-7.78,-5.29,-4.23,-3.48,-3.99,-2.14,-5.99
2013/11/8 15:00,1.67,-0.33,0.21,-0.35,0.07,-0.92,-1.08,-0.23,-1.24,-0.38,-1.64,0.23,-2.62,0.35,-4.06,0.96,-5.41,1.27,-3.42,0.94,-0.98,1.16,0.92,2.48,1.84,0.14,2.46,-1.55
2013/11/8 16:00,-6.79,3.05,-7.38,4.65,-8,5.29,-8.32,6.35,-9.18,6.08,-11.52,6.2,-13.72,5.53,-14.68,3.88,-16.36,4.62,-16.18,4.36,-13.45,4.99,-10.53,6.4,-10.18,9.02,-9.32,8.24
2013/11/8 17:00,-3.42,1.26,-3.86,1.33,-2.79,0.92,-4.92,1.74,-6.55,2.28,-8.71,3.51,-11.41,2.78,-13.29,1.06,-15.14,-0.76,-16.37,-0.51,-13.61,1.07,-9.02,3.52,-6.49,6.17,-5.05,4.21
2013/11/8 18:00,-4.89,-3.17,-6.72,-1.95,-7.78,-2.27,-8.47,-2.38,-9.86,-1.97,-11.82,-1,-14.44,-2.01,-15.48,-4.42,-16.36,-3.96,-16.02,-1.65,-12.02,1.34,-8.12,4.32,-5.51,7.41,-4.92,5.82
2013/11/8 19:00,-4.78,-1.46,-5.43,-2.08,-6.22,-1.9,-6.75,-1.86,-7.57,-1.58,-9.64,-2.32,-12.18,-4.98,-13.84,-5.7,-13.41,-3.68,-11.56,-1.86,-7.27,-1.18,-2.4,0,-0.78,-2.23,-2.24,-4.97
2013/11/8 20:00,-8.18,3.15,-9.17,2.63,-8.65,3.32,-10.35,3.74,-12.24,3.79,-12.91,2.22,-16.5,0.6,-18.29,1,-17.76,3.36,-18.22,5.2,-14.78,4.58,-11.8,5.07,-10.32,4.69,-10.56,2.73
2013/11/8 21:00,-1.3,-9.08,-1.63,-9.39,-0.58,-9.38,-0.55,-9.48,-0.41,-9.95,-0.96,-10.54,-4.46,-11.4,-8.64,-11.42,-10.49,-9.48,-10.58,-6.79,-7.99,-3.28,-5.36,-3,-4.65,-3.62,-5.28,-4.96
2013/11/8 22:00,5.17,-21.01,4.76,-20.71,4.52,-20.26,1.83,-20.35,-0.42,-19.48,-2.46,-18.63,-5.16,-18,-7.81,-16.19,-9.6,-13.39,-9.83,-9.91,-8.37,-5.8,-8.67,-6.52,-8.62,-10.79,-8.02,-14.48
2013/11/8 23:00,10.39,-34.68,8.83,-34,7.91,-34.08,6.09,-33.27,5.2,-31.04,4.93,-28.09,3.78,-26.03,2.6,-23.57,1.03,-21.85,0.93,-18.43,0.93,-14.67,1.28,-13.41,0.04,-16.2,-0.95,-19.11
2013/11/9 0:00,11.51,-32.87,10.33,-32.08,8.47,-30.77,5.93,-29.66,4.39,-28.04,3.35,-25.33,3.49,-23.72,2.98,-21.05,3.03,-19.15,3.39,-16.22,4.78,-12.55,5.25,-10.32,4.66,-11.12,4.98,-13.22
